0,0,0,0,1,1,0,2,2,0,0.9049218750000001
0,0,2,0,1,0,0,2,1,3,0.9590624999999999
2,0,0,0,0,2,0,1,1,2,0.0
0,2,2,1,2,0,0,1,1,0,-0.961015625
0,1,0,0,0,2,1,0,0,4,0.9850370720994679
1,2,1,0,2,0,2,1,0,3,0.0
1,1,0,0,2,2,2,0,1,7,0.0
0,0,2,0,1,2,0,0,1,7,0.0
0,0,1,1,2,0,1,0,2,0,1.0
0,1,2,0,1,2,1,0,0,0,-0.15992967497557398
2,1,1,0,0,1,1,2,2,3,-0.99993896484375
0,0,0,0,0,1,2,1,0,0,0.9845761184692354
2,1,1,0,0,1,0,2,2,6,-0.5
1,2,2,0,0,1,0,0,1,7,0.34350900105433535
1,0,2,0,0,0,1,1,2,4,0.0
1,2,1,2,2,0,1,0,1,5,1.0
0,2,1,0,0,1,1,0,2,0,0.9276113890449051
0,0,2,2,1,0,0,0,1,1,0.8426685213545262
1,0,0,2,2,0,0,0,1,6,0.0
2,1,1,1,2,0,0,2,0,8,0.5361886499198106
2,1,0,2,1,0,1,2,0,5,0.49306640625
0,2,1,1,1,0,0,2,0,0,-0.8984375
2,2,0,0,1,0,0,1,1,2,1.0
1,2,0,1,2,0,2,0,1,5,-0.999969482421875
1,0,0,2,0,0,2,1,0,5,0.0
1,1,0,0,2,2,0,1,0,2,0.99
1,2,2,0,2,0,1,0,1,3,0.5
2,2,1,1,0,1,2,0,0,4,1.0
2,1,1,0,2,0,1,0,0,3,0.99
0,0,1,0,0,1,0,2,0,3,0.04570150146484375
0,0,1,0,0,2,0,0,1,0,0.4594538818906992
0,2,0,1,1,0,0,2,1,5,-0.953125
0,2,2,0,1,2,1,1,0,8,0.875
0,2,0,0,1,1,0,2,0,8,0.2475
1,2,1,1,1,0,0,2,2,5,-0.9921875
2,0,0,0,0,1,0,1,2,4,0.8159765625
2,2,0,0,0,0,1,1,0,2,0.0
1,0,1,0,0,2,0,2,0,6,0.0
2,2,1,0,0,1,1,1,2,4,1.0
0,2,0,1,1,2,2,1,0,8,0.06285059813553374
1,1,2,0,2,1,0,2,0,3,-0.5
2,2,1,2,1,0,0,1,0,8,0.0
